Item,Qty,Reference(s),Value,LibPart,Footprint,Mouser
1,2,"C1, C9",10uF,device:CP1_Small,Passive:C_Disc_D0.2in_W0.1in_P0.2in,581-TAP106K016CRS 
2,7,"C2, C3, C4, C5, C6, C7, C8",0.1uF,device:C_Small,Passive:C_Disc_D0.2in_W0.1in_P0.2in,594-K104K15X7RF53H5 
3,1,J1,DB62,connectors:DB62,Conn:DB62,636-181-062-213R561
5,1,R1,4.7K,device:R,Passive:R_Axial_L0.26in_D0.92in_P0.5in_Horizontal,603-CFR-25JR-524K7 
6,2,"R2, R3",330,device:R,Passive:R_Axial_L0.26in_D0.92in_P0.5in_Horizontal,603-CFR-25JR-52330R 
7,2,"R4, R5",220,device:R,Passive:R_Axial_L0.26in_D0.92in_P0.5in_Horizontal,603-CFR-25JR-52220R 
8,1,RN1,4.7K,discretes:RPAC15_BUSSED,Active:DIP254P762X635-16,652-4116R-2LF-4.7K
9,2,"RN2, RN3",8.2K,discretes:RPAC15_BUSSED_IND,Active:DIP254P762X635-16,652-4116R-2LF-10K 
10,1,SW1,SW_DIP_x04,switches:SW_DIP_x04,Buttons_Switches_THT:SW_DIP_x4_W7.62mm_Slide,774-2064 
11,1,U1,74LS125,74xx:74LS125,Active:DIP254P762X635-14,595-SN74LS125AN 
12,1,U2,74S08,74xx:74LS08,Active:DIP254P762X635-14,595-SN74S08N 
13,1,U3,74S74,74xx:74LS74,Active:DIP254P762X635-14,595-SN74S74N 
14,1,U4,74LS138,74xx:74LS138,Active:DIP254P762X635-16,595-SN74LS138N 
15,1,U5,74LS155,74xx:74LS155,Active:DIP254P762X635-16,595-SN74LS155AN 
16,1,U6,74LS20,74xx:74LS20,Active:DIP254P762X635-14,595-SN74LS20N 
17,6,"U7, U8, U17, U18, U19, U20",74LS244,74xx:74LS244,Active:DIP254P762X635-20,595-SN74LS244N 
18,3,"U9, U10, U11",74LS374,74xx:74LS374,Active:DIP254P762X635-20,595-SN74LS374N 
19,1,U12,74LS245,74xx:74LS245,Active:DIP254P762X635-20,595-SN74LS245N 
20,1,U13,74LS74,74xx:74LS74,Active:DIP254P762X635-14,595-SN74LS74AN 
21,1,U14,74LS00,74xx:74LS00,Active:DIP254P762X635-14,595-SN74LS00N 
22,1,U15,74LS04,74xx:74LS04,Active:DIP254P762X635-14,595-SN74LS04N 
23,1,U16,74LS32,74xx:74LS32,Active:DIP254P762X635-14,595-SN74LS32N 
24,1,U21,74S85,74xx:74LS85,Active:DIP254P762X635-16,595-SN74LS85N 
25,2,"U22, U23",SN7417,logic:SN7417,Active:DIP254P762X635-14,595-SN7417N
